recipe_type,id,display_name,design_mode,best_for,source_ids,key_tokens,usage_rule,avoid
spacing_density,commerce-admin,商家运营密度,Product UI,订单/库存/客服/营销配置,,page=24; section=20; panel=16; card_gap=12; toolbar=48; control=32; table_row=40; sidebar=240; max_width=1440,订单/库存/客服/营销配置,借鉴 Polaris semantic space：入口和列表按任务分组而不是平均卡片
spacing_density,collaboration-workflow,协作流程密度,Product UI,项目/知识库/看板/文档协作,,page=32; section=24; panel=16; card_gap=12; toolbar=48; control=34; table_row=44; sidebar=260; max_width=1440,项目/知识库/看板/文档协作,借鉴 Atlassian：同组靠近跨任务区拉开
spacing_density,fluent-ramp,Fluent 企业密度,Product UI,桌面工具/企业控制台/设置中心,,page=32; section=24; panel=20; card_gap=16; toolbar=52; control=36; table_row=44; sidebar=260; max_width=1440,桌面工具/企业控制台/设置中心,借鉴 Fluent 4px ramp：响应式和触控场景可放大控件
spacing_density,material-adaptive,Material 自适应密度,Hybrid,跨端产品/移动优先/轻工作台,,page=32; section=24; panel=20; card_gap=16; toolbar=56; control=40; table_row=48; sidebar=280; max_width=1280,跨端产品/移动优先/轻工作台,借鉴 Material adaptive layout：不要把移动舒适间距照搬到桌面高密区域
spacing_density,brand-narrative,品牌叙事密度,Brand Surface,官网/活动页/作品集,,page=56; section=64; panel=32; card_gap=24; toolbar=auto; control=44; table_row=none; sidebar=none; max_width=1200,官网/活动页/作品集,借鉴 Apple/Material 可读性：首屏叙事但必须露出下一段
radius_shadow,product-border-first,边框优先 Product UI,Product UI,后台/管理端/审批台,,"control_radius=6; panel_radius=8; overlay_radius=10; border=1px solid var(--color-border); card_shadow=none; overlay_shadow=0 16px 40px rgba(15, 23, 42, 0.14)",用背景层级和边框表达结构,避免每张卡都有投影
radius_shadow,product-soft-ops,轻柔运营台,Product UI,工作台/客服/运营,,"control_radius=8; panel_radius=10; overlay_radius=12; border=1px solid var(--color-border); card_shadow=0 1px 2px rgba(15, 23, 42, 0.04); overlay_shadow=0 18px 48px rgba(15, 23, 42, 0.16)",只给关键面板轻阴影,避免玩具化大圆角
radius_shadow,brand-material,品牌材质表面,Brand Surface,品牌页/活动页,,"control_radius=10; panel_radius=16; overlay_radius=18; border=1px solid color-mix(in oklab, var(--color-border), transparent 20%); card_shadow=0 18px 60px rgba(15, 23, 42, 0.12); overlay_shadow=0 24px 80px rgba(15, 23, 42, 0.18)",材质必须服务主体对象,避免玻璃拟态全站铺开
radius_shadow,data-flat,数据工具扁平层级,Product UI,AI/数据/开发者工具,,"control_radius=4; panel_radius=6; overlay_radius=8; border=1px solid var(--color-border); card_shadow=none; overlay_shadow=0 12px 32px rgba(2, 6, 23, 0.16)",高密信息优先边框分割,避免厚重投影降低扫描效率
radius_shadow,toy-local,局部玩具质感,Avatar-IP,头像/IP/空态局部,,"control_radius=12; panel_radius=16; overlay_radius=20; border=1px solid var(--color-border); card_shadow=0 8px 24px rgba(15, 23, 42, 0.08); overlay_shadow=0 20px 60px rgba(15, 23, 42, 0.16)",只影响 IP 和空态,避免扩散到主系统控件
radius_shadow,material-tonal-surface,Material tonal surface,Hybrid,跨端产品/轻工作台/状态面板,,"control_radius=4; panel_radius=12; overlay_radius=16; border=1px solid color-mix(in oklab var(--color-border) transparent 15%); card_shadow=none; overlay_shadow=0 18px 42px rgba(15, 23, 42, 0.16)",借鉴 Material elevation：用 tonal surface 表达层级,避免把 elevation 当普通卡片阴影
radius_shadow,fluent-layered,Fluent layered surface,Product UI,桌面工具/企业控制台/设置中心,,"control_radius=4; panel_radius=8; overlay_radius=12; border=1px solid var(--color-border); card_shadow=0 1px 2px rgba(15, 23, 42, 0.05); overlay_shadow=0 16px 40px rgba(15, 23, 42, 0.18)",借鉴 Fluent layered surface：浮层和普通面板层级清楚,避免顶层页面靠大阴影制造层级
radius_shadow,commerce-admin-layered,商家后台层级,Product UI,订单/库存/客服/商家运营,,"control_radius=6; panel_radius=8; overlay_radius=12; border=1px solid var(--color-border); card_shadow=none; overlay_shadow=0 18px 44px rgba(15, 23, 42, 0.15)",入口区少阴影列表区重扫描,避免 pastel icon card soup
radius_shadow,collaboration-surface,协作表面,Product UI,项目/知识库/看板/文档协作,,"control_radius=4; panel_radius=6; overlay_radius=8; border=1px solid var(--color-border); card_shadow=none; overlay_shadow=0 12px 32px rgba(15, 23, 42, 0.14)",hover/selection 用 surface 与 border 表示,避免每个 block 都像独立卡片
radius_shadow,brand-signature-material,品牌 signature 材质,Brand Surface,官网/活动页/品牌叙事,,"control_radius=12; panel_radius=18; overlay_radius=24; border=1px solid color-mix(in oklab var(--color-border) transparent 35%); card_shadow=0 24px 70px rgba(15, 23, 42, 0.14); overlay_shadow=0 32px 100px rgba(15, 23, 42, 0.22)",只允许一个主体材质成为记忆点,避免全站玻璃拟态和强投影
motion,product-crisp,克制反馈,Product UI,后台/表格/表单,,css=hover active focus toast drawer using --duration-fast/base/moderate; motion=presence only when state clarity improves; gsap=N/A; reduced=保留颜色和 opacity，移除 travel,反馈短促明确，不做叙事,避免首屏飞入和弹跳
motion,ops-progress,运营进度,Product UI,导入/审批/工单/诊断,,css=button toast drawer skeleton; motion=step enter/exit and list stagger; gsap=multi-step progress timeline 220-260ms per step; reduced=跳到最终状态并保留当前步骤文本,用进度和阻塞状态建立信任,避免用 loading 动画替代真实进度
motion,ai-command-flow,AI 调用链路,Hybrid,AI 助手/工具调用,,"css=input focus submit feedback; motion=message enter and tool result presence; gsap=tool-call timeline, trace reveal, streaming status; reduced=保留文本状态，移除位移和错峰",动效说明 AI 正在做什么,避免抽象光效盖过结果
motion,brand-signature,品牌记忆点,Brand Surface,官网/活动页/作品集,,css=buttons nav subtle feedback; motion=section reveal if useful; gsap=hero timeline / scroll scene / number morph; reduced=跳过 timeline 到最终画面,只选择一个 signature moment,避免每屏都有复杂动效
motion,data-live,数据大屏编排,Brand Surface,大屏/直播间/监控墙,,"css=status pulse with tokens; motion=panel presence; gsap=number roll, chart reveal, alert timeline; reduced=保留数值更新，停止循环装饰",动效表达实时性和优先级,避免频繁闪烁和颜色噪音
motion,material-standard,Material 标准动效,Hybrid,跨端应用/轻工作台/状态变化,,css=hover focus toast drawer using standard/decelerate/accelerate; motion=enter/exit with small travel only when spatial relationship matters; gsap=N/A; reduced=保留最终状态并移除位移,借鉴 Material：动效绑定进入退出和状态目的,避免无来源的大幅飞入
motion,fluent-choreography,Fluent 层级编排,Product UI,企业控制台/桌面工具/复杂流程,,css=quick fade for top-level and short feedback; motion=stagger only for hierarchy reveal; gsap=workflow timeline only when sequence matters; reduced=保留层级变化去掉 travel,借鉴 Fluent：top-level quick fade 局部 choreography,避免页面级大幅滑动
motion,collaboration-feedback,协作反馈,Product UI,项目/知识库/看板/评论/状态流,,css=focus active lozenge status hover; motion=presence for comments tasks and filtered result; gsap=N/A; reduced=保留颜色和状态文案,借鉴 Atlassian/Polaris：反馈服务扫描和协作状态,避免装饰性错峰
motion,gsap-responsive-signature,GSAP 响应式 signature,Brand Surface,品牌 hero/AI 调用链路/滚动叙事,,css=base feedback still CSS; motion=presence can be Motion Vue or CSS; gsap=matchMedia timeline with cleanup and reducedMotion condition; reduced=跳过 timeline 到最终画面并调用 cleanup/revert,GSAP 只承载一个 signature moment,避免没有 matchMedia 和 reduced motion 的 timeline
motion,ai-trace-progress,AI 证据链进度,Hybrid,AI 助手/工具调用/诊断链路,,css=input focus submit result status; motion=message/tool result presence; gsap=step timeline trace reveal streaming status under 900ms per cycle; reduced=保留文本步骤和最终结果,动效说明 AI 正在执行哪一步和证据来源,避免抽象光效盖过结果
motion,brand-expressive-motion,品牌叙事动效,Brand Surface,官网/活动页/作品集,,css=button nav section feedback; motion=section reveal with opacity and slight transform; gsap=hero timeline or number morph as only signature; reduced=直接显示最终内容并停用连续动画,一个 signature moment 服务叙事和品牌记忆,避免每个 section 都滚动飞入
advanced_interaction,none-product-ui,无高级交互 Product UI,Product UI,表格/表单/审批/权限/设置,none,layer=CSS transition only; purpose=保持高频工作稳定和可扫描; dependency=不新增 GSAP/Three.js; reduced=保留状态色和 opacity; fallback=无动画最终状态; verification=screenshot + keyboard + reduced motion,保持高频工作稳定和可扫描,避免为了高级感添加滚动叙事或 3D
advanced_interaction,ai-tool-trace-gsap,AI 工具调用链路,Hybrid,AI 助手/诊断/自动化执行,gsap-core|gsap-matchmedia,layer=GSAP timeline + CSS feedback; purpose=展示工具调用步骤/等待/阻塞/结果; dependency=tech-design 确认 GSAP；普通消息 enter 不用 GSAP; reduced=保留步骤文本移除 travel/stagger; fallback=CSS opacity + final state; verification=reduced motion + repeated submit + cleanup,展示工具调用步骤/等待/阻塞/结果,避免抽象光效盖过真实执行信息
advanced_interaction,batch-progress-gsap,批处理进度编排,Product UI,导入导出/批量审批/后台任务,gsap-core|gsap-matchmedia,layer=GSAP timeline for progress only; purpose=让用户理解当前步骤和可恢复点; dependency=只在多步骤 timeline 使用；按钮和 toast 仍用 CSS; reduced=跳到当前步骤并保留进度文本; fallback=静态 stepper + progress bar; verification=step failure + retry + cleanup,让用户理解当前步骤和可恢复点,避免循环 loading 替代真实进度
advanced_interaction,brand-hero-gsap,品牌首屏 GSAP signature,Brand Surface,官网/活动页/作品集,gsap-core|gsap-scrolltrigger|gsap-matchmedia,layer=GSAP hero timeline; purpose=建立一个记忆点和叙事节奏; dependency=只允许一个 signature；其余 section 用 CSS/Motion; reduced=直接显示最终 hero 内容; fallback=静态 hero image / final layout; verification=desktop/mobile/reduced motion screenshots,建立一个记忆点和叙事节奏,避免每屏都滚动飞入
advanced_interaction,layout-flip-transition,空间关系 Flip 转场,Hybrid,卡片到详情/列表重排/看板状态变化,gsap-flip|gsap-matchmedia,layer=GSAP Flip; purpose=让用户理解同一对象在布局间迁移; dependency=只有同一对象空间关系明确时使用; reduced=直接切换布局并保留焦点; fallback=CSS state switch; verification=initial/target/rapid toggle/focus,让用户理解同一对象在布局间迁移,避免无意义的卡片飞来飞去
advanced_interaction,three-product-viewer,3D 产品查看器,Brand Surface,硬件/商品/模型/空间对象,three-docs|three-examples|r3f-examples|drei|tresjs,layer=Three.js scene; purpose=展示真实 3D 对象和关键角度; dependency=tech-design 确认框架；Vue 优先 TresJS；React 可 R3F/Drei; reduced=停止自动旋转并保留静态角度; fallback=静态图片/多角度截图; verification=canvas nonblank + asset failure + mobile perf,展示真实 3D 对象和关键角度,避免无产品对象的装饰 3D
advanced_interaction,three-data-spatial,空间数据 / 知识图谱,Hybrid,知识图谱/关系网络/空间数据,three-docs|three-examples|tresjs|r3f-examples,layer=Three.js data scene; purpose=表达二维难以说明的空间关系; dependency=只有数据关系真实需要空间时使用; reduced=改为二维图或列表; fallback=2D graph/table fallback; verification=canvas + labels + keyboard alternative,表达二维难以说明的空间关系,避免科技感点线背景
advanced_interaction,shader-brand-signature,Shader 品牌材质,Brand Surface,概念页/活动页/高级品牌视觉,three-docs|three-examples,layer=Three.js shader / particles; purpose=创造一个可识别材质或氛围; dependency=必须有性能预算和可读性检查; reduced=停用循环和相机运动; fallback=静态 bitmap background; verification=contrast + performance + reduced motion,创造一个可识别材质或氛围,避免文字盖在低对比动态背景上
advanced_interaction,command-microinteractions,命令面板微交互,Product UI,命令面板/快捷操作/开发者工具,gsap-core optional,layer=CSS + optional tiny timeline; purpose=强化键盘反馈和结果确认; dependency=默认 CSS；只有命令链路演示才用 GSAP; reduced=保留 focus ring 和结果状态; fallback=CSS-only command palette; verification=keyboard + focus + rapid input,强化键盘反馈和结果确认,避免输入框动效影响效率
