palette_id,aesthetic_id,display_name,design_mode,best_for,background,surface,surface_2,text,muted,primary,secondary,accent,border,success,warning,danger,chart_1,chart_2,chart_3,neutral_scale,primary_scale,accent_scale,semantic_scale,chart_scale,usage_ratio,contrast_notes,avoid,source,source_url,license_note
cyberpunk,cyberpunk,赛博朋克,Brand Surface,活动/概念/游戏/未来品牌,#0B1020,#111827,#1E1B4B,#E5E7EB,#94A3B8,#22D3EE,#A855F7,#F43F5E,#334155,#34D399,#FACC15,#FB7185,#22D3EE,#A855F7,#F43F5E,zinc 50-900,cyan 50-900,violet/rose 50-900,emerald/yellow/rose,cyan/violet/rose,background 45 / primary 20 / accent 20 / semantic 5 / glow 10,霓虹小字必须降级；所有正文浮层使用不透明 surface fallback,避免政企后台和长时间办公,SpecForge curated + Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
glass,glass,玻璃拟态,Brand Surface,轻量展示/AI入口/概念页,#EEF4FF,#FFFFFF99,#FFFFFF66,#111827,#64748B,#1D4ED8,#A5B4FC,#0369A1,#CBD5E1,#10B981,#D97706,#DC2626,#1D4ED8,#6366F1,#0369A1,blue 50-900,blue 50-900,indigo/sky 50-900,green/amber/red,blue/indigo/sky,background 60 / primary 14 / accent 10 / semantic 5 / glass 11,blur 不能替代 contrast；必须提供不透明 fallback,避免层级过多和可读性差,SpecForge curated + Radix Colors,https://www.radix-ui.com/colors,curated token mapping; verify source license before redistribution
poster-retro,poster-retro,复古海报风,Brand Surface,活动/专题/文化页,#F7E6C4,#FFF3D6,#E7B75F,#2F1E12,#7A4B2A,#8A3F06,#1F5E4B,#9F2F0C,#C98F45,#2F855A,#B7791F,#B91C1C,#8A3F06,#1F5E4B,#9F2F0C,warm 50-900,brown/orange 50-900,green/red 50-900,green/amber/red,brown/green/red,background 55 / primary 15 / accent 20 / semantic 5 / print 5,复古色块不承载长正文；正文区域回到高对比底色,避免日常后台和长文本阅读,SpecForge curated + Color Hunt inspiration,https://colorhunt.co/palettes/retro,inspiration only; verify license before copying external palettes
black-white-cool,black-white-cool,酷感黑白,Brand Surface,作品集/个人品牌/潮流工具,#FAFAFA,#FFFFFF,#E5E5E5,#0A0A0A,#525252,#111111,#D4D4D4,#B91C1C,#D4D4D4,#16A34A,#D97706,#DC2626,#111111,#737373,#B91C1C,zinc 50-900,zinc 50-900,red 50-900,green/amber/red,zinc/gray/red,neutral 82 / primary 8 / accent 5 / semantic 5,黑白高对比要保留 focus 和状态色；红色只做 signature,避免温暖服务和低门槛政务,SpecForge curated + Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
enterprise-trust,enterprise-trust,政企可信风,Product UI,政务/集团后台/公共服务,#F7F8FA,#FFFFFF,#EEF1F5,#101828,#667085,#1D4ED8,#D9E8FF,#075985,#D9DEE8,#027A48,#B54708,#B42318,#175CD3,#667085,#027A48,gray 50-900,blue 50-900,sky 50-900,green/amber/red,blue/slate/green,neutral 78 / primary 12 / accent 5 / semantic 5,表格和审批正文必须高对比；状态 badge 使用语义前景,避免潮流插画和彩色 icon 宫格,IBM Carbon + SpecForge curated,https://carbondesignsystem.com/elements/color/tokens/,curated token mapping; Carbon tokens are reference discipline not copied wholesale
finance-pro,finance-pro,金融专业风,Product UI,金融/审计/风控/经营分析,#F8FAF9,#FFFFFF,#EEF2F1,#111C18,#66736F,#15512B,#DCEBE2,#5F3D00,#D8DFDD,#087443,#A15C07,#B42318,#15512B,#5F3D00,#1D4ED8,gray 50-900,green 50-900,gold 50-900,green/amber/red,green/gold/blue,neutral 80 / primary 10 / accent 5 / semantic 5,盈利亏损只用 semantic；装饰金色不能替代 warning,避免玩具感和荧光财富感,IBM Carbon + SpecForge curated,https://carbondesignsystem.com/elements/color/tokens/,curated token mapping; Carbon tokens are reference discipline not copied wholesale
medical-clean,medical-clean,医疗健康风,Product UI,医疗/健康/服务预约,#F8FBFC,#FFFFFF,#EEF7F8,#102A30,#5B7F84,#0B5F59,#CFF5EE,#1E40AF,#D5E8EA,#0E9F6E,#D97706,#DC2626,#0B5F59,#2563EB,#0E9F6E,teal 50-900,teal 50-900,blue 50-900,green/amber/red,teal/blue/green,neutral 78 / primary 12 / accent 5 / semantic 5,医疗正文和风险提示必须优先可读；浅青只做背景,避免过度科技光效和营销高饱和,Material 3 + SpecForge curated,https://m3.material.io/styles/color/overview,curated token mapping; verify role colors in final theme
industrial-order,industrial-order,工业秩序风,Product UI,工业/物联网/运维/监控,#F7F8F8,#FFFFFF,#ECEFF0,#111820,#5B6670,#223A4D,#D8E1EA,#8A4B00,#D4DADD,#16803C,#B45309,#B91C1C,#223A4D,#8A4B00,#16803C,slate 50-900,steel 50-900,orange 50-900,green/amber/red,steel/orange/green,neutral 82 / primary 8 / accent 5 / semantic 5,设备状态灯用 semantic；primary 不污染监控状态,避免奶油风和软萌图标,SpecForge curated + Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
legal-compliance,legal-compliance,法务合规风,Product UI,合同/审批/合规/审计流,#FAFAF9,#FFFFFF,#F2F2EF,#1C1B18,#716F66,#4D3A0D,#E4DDCC,#3730A3,#DFDED8,#166534,#A16207,#991B1B,#4D3A0D,#3730A3,#166534,stone 50-900,gold 50-900,indigo 50-900,green/amber/red,gold/indigo/green,neutral 82 / primary 8 / accent 5 / semantic 5,条款正文必须高对比；版本痕迹和风险不被装饰覆盖,避免活泼贴纸和渐变背景,IBM Carbon + SpecForge curated,https://carbondesignsystem.com/elements/color/tokens/,curated token mapping; Carbon tokens are reference discipline not copied wholesale
data-command,data-command,数据指挥舱,Hybrid,图表/地图/大屏/指标监控,#0B1220,#111827,#1E293B,#F8FAFC,#CBD5E1,#38BDF8,#2563EB,#10B981,#334155,#10B981,#F59E0B,#EF4444,#38BDF8,#10B981,#F59E0B,slate 50-900,sky 50-900,emerald 50-900,emerald/amber/red,ColorBrewer-safe,neutral 58 / primary 14 / accent 8 / semantic 7 / chart 13,chart 颜色必须和状态色分离；指标和单位不可被光效遮挡,避免全屏霓虹和无单位图表,ColorBrewer + SpecForge curated,https://colorbrewer2.org/,ColorBrewer for chart advice; verify license and attribution before embedding palettes
